Breaks;Date;Time;V2V_CAPTAGE_CO2 [B];VANNE_PROP_FOND [I];VANNE_UTA_CHAUD [I];VANNE_UTA_FROID [I];VENTILATEUR_CTA [B];MOLE_CO2_DERIVEE [R];ORIGINE_COLONNES [B];V2V_INJECTION_N2 [B];V2V_INJECTION_O2 [B];V2V_INJ_AIR_NEUF [B]
OPEN;19/06/2025;20:53:29;0;0;0;40;1;314;0;0;0;1
OPEN;19/06/2025;20:53:59;0;0;46;0;1;282;0;0;0;1
OPEN;19/06/2025;20:54:29;0;0;100;0;1;284;0;0;0;1
OPEN;19/06/2025;20:54:59;0;0;88;0;1;261;0;0;0;1
OPEN;19/06/2025;20:55:29;0;0;34;0;1;331;0;0;0;1
OPEN;19/06/2025;20:55:59;0;0;0;31;1;318;0;0;0;1
OPEN;19/06/2025;20:56:29;0;0;0;22;1;297;0;0;0;1
OPEN;19/06/2025;20:56:59;0;0;71;0;1;320;0;0;0;1
OPEN;19/06/2025;20:57:29;0;0;100;0;1;364;0;0;0;1
OPEN;19/06/2025;20:58:00;0;0;84;0;1;289;0;0;0;1
OPEN;19/06/2025;20:58:30;0;0;27;0;1;291;0;0;0;1
OPEN;19/06/2025;20:59:00;0;0;0;35;1;300;0;0;0;1
OPEN;19/06/2025;20:59:30;0;0;0;9;1;333;0;0;0;1
OPEN;19/06/2025;21:00:00;0;0;75;0;1;278;0;0;0;1
OPEN;19/06/2025;21:00:30;0;0;92;0;1;305;0;0;0;1
OPEN;19/06/2025;21:01:00;0;0;67;0;1;300;0;0;0;1
OPEN;19/06/2025;21:01:30;0;0;12;0;1;261;0;0;0;1
OPEN;19/06/2025;21:02:00;0;0;0;40;1;293;0;0;0;1
OPEN;19/06/2025;21:02:30;0;0;17;0;1;311;0;0;0;1
OPEN;19/06/2025;21:03:00;0;0;92;0;1;347;0;0;0;1
OPEN;19/06/2025;21:03:30;0;0;100;0;1;292;0;0;0;1
OPEN;19/06/2025;21:04:00;0;0;59;0;1;301;0;0;0;1
OPEN;19/06/2025;21:04:30;0;0;0;14;1;305;0;0;0;1
OPEN;19/06/2025;21:05:00;0;0;0;35;1;312;0;0;0;1
OPEN;19/06/2025;21:05:30;0;0;42;0;1;304;0;0;0;1
OPEN;19/06/2025;21:06:00;0;0;92;0;1;289;0;0;0;1
OPEN;19/06/2025;21:06:30;0;0;84;0;1;294;0;0;0;1
OPEN;19/06/2025;21:07:00;0;0;38;0;1;322;0;0;0;1
OPEN;19/06/2025;21:07:30;0;0;0;27;1;293;0;0;0;1
OPEN;19/06/2025;21:08:00;0;0;0;18;1;277;0;0;0;1
OPEN;19/06/2025;21:08:30;0;0;71;0;1;297;0;0;0;1
OPEN;19/06/2025;21:09:00;0;0;96;0;1;296;0;0;0;1
OPEN;19/06/2025;21:09:30;0;0;75;0;1;300;0;0;0;1
OPEN;19/06/2025;21:10:00;0;0;19;0;1;295;0;0;0;1
OPEN;19/06/2025;21:10:30;0;0;0;40;1;311;0;0;0;1
OPEN;19/06/2025;21:11:00;0;0;0;9;1;319;0;0;0;1
OPEN;19/06/2025;21:11:30;0;0;80;0;1;286;0;0;0;1
OPEN;19/06/2025;21:12:00;0;0;92;0;1;300;0;0;0;1
OPEN;19/06/2025;21:12:30;0;0;63;0;1;303;0;0;0;1
OPEN;19/06/2025;21:13:00;0;0;4;5;1;302;0;0;0;1
OPEN;19/06/2025;21:13:30;0;0;0;40;1;311;0;0;0;1
OPEN;19/06/2025;21:14:00;0;0;25;0;1;294;0;0;0;1
OPEN;19/06/2025;21:14:31;0;0;84;0;1;295;0;0;0;1
OPEN;19/06/2025;21:15:01;0;0;80;0;1;286;0;0;0;1
OPEN;19/06/2025;21:15:31;0;0;42;0;1;280;0;0;0;1
OPEN;19/06/2025;21:16:01;0;0;0;22;1;321;0;0;0;1
OPEN;19/06/2025;21:16:31;0;0;0;27;1;299;0;0;0;1
OPEN;19/06/2025;21:17:01;0;0;59;0;1;319;0;0;0;1
OPEN;19/06/2025;21:17:31;0;0;96;0;1;293;0;0;0;1
OPEN;19/06/2025;21:18:01;0;0;80;0;1;288;0;0;0;1
