Breaks;Date;Time;VIDANGE_CANIVEAU [B];CONSIGNE_ROTATION [I];CONSIGNE_TEMP_INF [R];CONSIGNE_TEMP_SUP [R];DESHUMIDIFICATEUR [B];POIDS_EAU_CELLULE [R];POMPE_GENER_CHAUD [B];POMPE_GENER_FROID [B];TEMPERATURE_SONDE [R];V2V_ABSORBTION_O2 [B]
OPEN;19/06/2025;10:57:37;0;0;12;12;0;5,6696601;1;1;12;0
OPEN;19/06/2025;10:58:07;0;0;12;12;0;6,1828599;1;1;12,3;0
OPEN;19/06/2025;10:58:37;0;0;12;12;0;5,4870219;1;1;12,4;0
OPEN;19/06/2025;10:58:38;0;0;12;12;0;4,4319148;1;1;12,2;0
OPEN;19/06/2025;10:59:07;0;0;12;12;1;4,4319148;1;1;12,2;0
OPEN;19/06/2025;10:59:37;0;0;12;12;1;4,6241298;1;1;12;0
OPEN;19/06/2025;11:00:07;0;0;12;12;1;5,2909408;1;1;11,9;0
OPEN;19/06/2025;11:00:18;0;0;12;12;1;5,9410734;1;1;12,2;0
OPEN;19/06/2025;11:00:37;0;0;12;12;0;5,9410734;1;1;12,2;0
OPEN;19/06/2025;11:01:07;0;0;12;12;0;6,0479989;1;1;12,4;0
OPEN;19/06/2025;11:01:22;0;0;12;12;0;5,0634375;1;1;12,4;0
OPEN;19/06/2025;11:01:37;0;0;12;12;1;5,0634375;1;1;12,4;0
OPEN;19/06/2025;11:02:07;0;0;12;12;1;4,4211049;1;1;12,2;0
OPEN;19/06/2025;11:02:37;0;0;12;12;1;4,7337193;1;1;12;0
OPEN;19/06/2025;11:03:07;0;0;12;12;1;5,5195775;1;1;12,1;0
OPEN;19/06/2025;11:03:37;0;0;12;12;0;6,1013112;1;1;12,3;0
OPEN;19/06/2025;11:04:07;0;0;12;12;0;5,8272824;1;1;12,5;0
OPEN;19/06/2025;11:04:17;0;0;12;12;0;4,761147;1;1;12,5;0
OPEN;19/06/2025;11:04:37;0;0;12;12;1;4,761147;1;1;12,5;0
OPEN;19/06/2025;11:05:07;0;0;12;12;1;4,3321981;1;1;12,2;0
OPEN;19/06/2025;11:05:37;0;0;12;12;1;4,7794514;1;1;12;0
OPEN;19/06/2025;11:06:02;0;0;12;12;1;5,5998387;1;1;12,1;0
OPEN;19/06/2025;11:06:07;0;0;12;12;0;5,5998387;1;1;12,1;0
OPEN;19/06/2025;11:06:37;0;0;12;12;0;6,1946759;1;1;12,3;0
OPEN;19/06/2025;11:07:07;0;0;12;12;0;5,8660927;1;1;12,5;0
OPEN;19/06/2025;11:07:18;0;0;12;12;0;4,5575914;1;1;12,4;0
OPEN;19/06/2025;11:07:37;0;0;12;12;1;4,5575914;1;1;12,4;0
OPEN;19/06/2025;11:08:07;0;0;12;12;1;4,5664949;1;1;12,1;0
OPEN;19/06/2025;11:08:37;0;0;12;12;1;4,9903493;1;1;12;0
OPEN;19/06/2025;11:08:57;0;0;12;12;1;5,707746;1;1;12,1;0
OPEN;19/06/2025;11:09:07;0;0;12;12;0;5,707746;1;1;12,1;0
OPEN;19/06/2025;11:09:37;0;0;12;12;0;6,2240005;1;1;12,3;0
OPEN;19/06/2025;11:10:07;0;0;12;12;0;5,658236;1;1;12,5;0
OPEN;19/06/2025;11:10:37;0;0;12;12;1;4,3273153;1;1;12,2;0
OPEN;19/06/2025;11:11:07;0;0;12;12;1;4,4853005;1;1;12;0
OPEN;19/06/2025;11:11:37;0;0;12;12;1;5,1391196;1;1;12;0
OPEN;19/06/2025;11:11:38;0;0;12;12;1;5,7845988;1;1;12,1;0
OPEN;19/06/2025;11:11:52;0;0;12;12;1;5,7845988;1;1;12,1;0
OPEN;19/06/2025;11:12:08;0;0;12;12;0;5,7845988;1;1;12,1;0
OPEN;19/06/2025;11:12:38;0;0;12;12;0;6,2240005;1;1;12,4;0
OPEN;19/06/2025;11:13:03;0;0;12;12;0;5,4505963;1;1;12,5;0
OPEN;19/06/2025;11:13:08;0;0;12;12;1;5,4505963;1;1;12,5;0
OPEN;19/06/2025;11:13:38;0;0;12;12;1;4,3724608;1;1;12,3;0
OPEN;19/06/2025;11:14:08;0;0;12;12;1;4,7658505;1;1;12,1;0
OPEN;19/06/2025;11:14:38;0;0;12;12;1;5,4093475;1;1;12,1;0
OPEN;19/06/2025;11:14:42;0;0;12;12;1;6,0722804;1;1;12,2;0
OPEN;19/06/2025;11:15:08;0;0;12;12;0;6,0722804;1;1;12,2;0
OPEN;19/06/2025;11:15:38;0;0;12;12;0;6,088263;1;1;12,5;0
OPEN;19/06/2025;11:15:58;0;0;12;12;0;4,8453264;1;1;12,5;0
OPEN;19/06/2025;11:16:08;0;0;12;12;1;4,8453264;1;1;12,5;0
OPEN;19/06/2025;11:16:38;0;0;12;12;1;4,4387226;1;1;12,3;0
OPEN;19/06/2025;11:17:08;0;0;12;12;1;4,8901434;1;1;12,1;0
OPEN;19/06/2025;11:17:32;0;0;12;12;1;5,603961;1;1;12,1;0
OPEN;19/06/2025;11:17:38;0;0;12;12;0;5,603961;1;1;12,1;0
