Datetime;Breaks;VANNE_UTA_CHAUD [I];VANNE_UTA_FROID [I];TEMPERATURE_SONDE [R];PRESSION_EXTERIEUR [R];HYGROMETRIE_CELLULE [R];TEMPERATURE_REPRISE [R];TEMPERATURE_CONSIGNE [R];TEMPERATURE_SOUFFLAGE [R];TEMPERATURE_ALLER_CHAUD [R];TEMPERATURE_ALLER_FROID [R];MA_VARIATEUR [B]
2024-05-12 17:30:26;;0;10;1,7;1055;53;1,9;1,4;2,5;43;-11,7;0
2024-05-12 17:35:26;;0;8;1;1055;53;1,3;0,9;1,8;43,900002;-11,1;0
2024-05-12 17:40:26;;0;8;0,60000002;1055;53;0,80000001;0,4;1,3;43,400002;-11,8;0
2024-05-12 17:45:26;;0;10;0,1;1055;54;0,40000001;-0,1;0,89999998;43,299999;-11,8;0
2024-05-12 17:50:26;;0;40;-0,2;1055;54;0;-0,6;0,1;43,700001;-10,7;0
2024-05-12 17:55:26;;0;28;-1;1055;55;-0,69999999;-1,1;-0,69999999;43,299999;-11,9;0
2024-05-12 18:00:27;;0;22;-1,6;1055;54;-1,3;-1,6;-1,3;43;-11,2;0
2024-05-12 18:05:27;;0;51;-1,8;1055;56;-1,3;-2,1;-1,3;43,700001;-12;0
2024-05-12 18:10:27;;0;57;-2,0999999;1055;57;-1,8;-2,7;-1,9;43,400002;-11,8;0
2024-05-12 18:15:27;;0;57;-2,7;1055;58;-2,3;-3,2;-2,4000001;43,799999;-11,2;0
2024-05-12 18:20:27;;0;57;-3,2;1055;58;-2,8;-3,7;-2,9000001;43,700001;-11,5;0
2024-05-12 18:25:27;;0;69;-3,5999999;1055;59;-3,0999999;-4,2;-3,3;43,400002;-11,6;0
2024-05-12 18:30:27;;0;63;-4,1999998;1055;59;-3,7;-4,7;-3,9000001;43,099998;-11,8;0
2024-05-12 18:35:27;;0;69;-4,8000002;1055;59;-4,1999998;-5,3;-4,4000001;43,900002;-11,2;0
2024-05-12 18:40:27;;0;45;-5,5999999;1055;60;-5,0999999;-5,8;-5,4000001;43,599998;-11,9;0
