Datetime,Breaks,Date,Time,VANNE_UTA_CHAUD [I],VANNE_UTA_FROID [I],TEMPERATURE_SONDE [R],PRESSION_EXTERIEUR [R],HYGROMETRIE_CELLULE [R],TEMPERATURE_REPRISE [R],TEMPERATURE_CONSIGNE [R],TEMPERATURE_SOUFFLAGE [R],TEMPERATURE_ALLER_CHAUD [R],TEMPERATURE_ALLER_FROID [R],MA_VARIATEUR [B]
1756747537.0,0.0,0.0,0.0,31.7,0.1,19.0599999,1055.0,58.9,18.71,20.0,20.8400002,43.0600003,-5.10000005,0.0
1756747837.0,0.0,0.0,0.0,30.2,0.4,19.1200001,1055.0,57.75,18.6649999,20.0,20.8150001,43.40500015,-5.51499996,0.0
1756748137.0,0.0,0.0,0.0,24.4,0.5,19.435000100000003,1055.0,59.5,19.0300001,20.0,21.24500025,43.3600008,-5.279999945,0.0
1756748437.0,0.0,0.0,0.0,20.473684210526315,0.631578947368421,19.53684210526316,1055.0,61.8421052631579,19.226315578947368,20.0,21.38947405263158,42.936842052631576,-5.178947373684211,0.0
1756748738.0,0.0,0.0,0.0,27.0,0.25,19.28125,1055.0,61.3125,19.01249975,20.0,21.1062498125,43.5375005,-5.1125000125,0.0
1756749038.0,0.0,0.0,0.0,30.8,0.4,19.1199998,1055.0,58.3,18.66,20.0,20.8599999,43.2399997,-5.30999999,0.0
1756749338.0,0.0,0.0,0.0,24.4,0.6,19.4100001,1055.0,59.5,18.979999900000003,20.0,21.1700002,43.1300004,-5.4099999400000005,0.0
1756749638.0,0.0,0.0,0.0,22.2,0.4,19.5150002,1055.0,60.8,19.1749999,20.0,21.3849999,43.5100003,-5.12000008,0.0
1756749938.0,0.0,0.0,0.0,28.0,0.3,19.18000025,1055.0,60.25,18.85000015,20.0,20.9750002,43.1,-5.39499993,0.0
1756750238.0,0.0,0.0,0.0,31.5,0.1,19.09500035,1055.0,58.55,18.675,20.0,20.8200001,43.26999935,-4.925000075,0.0
1756750538.0,0.0,0.0,0.0,26.73913043478261,0.5217391304347826,19.32608704347826,1055.0,58.47826086956522,18.86086943478261,20.0,21.047826217391304,43.34782565217392,-5.460869560869566,0.0
1756750839.0,0.0,0.0,0.0,23.1,0.4,19.4800002,1055.0,59.9,19.0800003,20.0,21.2999999,43.0,-5.27999992,0.0
1756751139.0,0.0,0.0,0.0,25.5,0.6,19.3000003,1055.0,60.9,19.0499999,20.0,21.2,43.5799999,-5.20000005,0.0
1756751439.0,0.0,0.0,0.0,32.0,0.0,19.0500002,1055.0,58.9,18.66,20.0,20.7900003,43.1300004,-5.45999994,0.0
1756751739.0,0.0,0.0,0.0,29.0,0.4,19.2200001,1055.0,58.8,18.71500015,20.0,20.8900003,43.1700006,-4.925000075,0.0
1756752039.0,0.0,0.0,0.0,22.9,0.6,19.49,1055.0,60.05,19.10499985,20.0,21.3100002,43.43000015,-5.41500001,0.0
1756752339.0,0.0,0.0,0.0,22.2,0.5,19.44500005,1055.0,61.25,19.1400003,20.0,21.28000005,43.01999985,-5.15999999,0.0
1756752639.0,0.0,0.0,0.0,32.333333333333336,0.074074074074074,19.06666677777778,1055.0,59.333333333333336,18.703703703703702,20.0,20.85555562962963,43.64814888888889,-5.3333332962962965,0.0
1756752939.0,0.0,0.0,0.0,29.55172413793104,0.4482758620689655,19.22413824137931,1055.0,58.48275862068966,18.73793103448276,20.0,20.93448306896552,43.203448689655175,-5.351724113793104,0.0
1756753240.0,0.0,0.0,0.0,24.4,0.3,19.4100001,1055.0,59.6,18.9900001,20.0,21.15,42.9499995,-5.00000005,0.0
1756753540.0,0.0,0.0,0.0,21.2,0.6,19.55,1055.0,61.3,19.2099998,20.0,21.360000300000003,43.5100003,-5.26999998,0.0
1756753840.0,0.0,0.0,0.0,36.7,0.0,18.71000025,1055.0,58.45,18.39499995,20.0,20.5549996,43.15,-5.195000005,0.0
1756754140.0,0.0,0.0,0.0,30.0,0.5,19.15999995,1055.0,58.7,18.7500001,20.0,20.88499985,43.3750005,-5.42999997,0.0
1756754440.0,0.0,0.0,0.0,21.689655172413797,0.7241379310344828,19.531034517241377,1055.0,59.93103448275862,19.12758606896552,20.0,21.317241413793106,43.286206862068966,-5.26896554137931,0.0
1756754740.0,0.0,0.0,0.0,22.73333333333333,0.5,19.4633334,1055.0,61.46666666666667,19.146666866666667,20.0,21.28000023333333,42.9566667,-5.24333334,0.0
1756755040.0,0.0,0.0,0.0,34.407407407407405,0.0,18.98888877777778,1055.0,58.5925925925926,18.559259222222224,20.0,20.718518777777778,43.54444485185185,-5.348148151851852,0.0
1756755341.0,0.0,0.0,0.0,32.8,0.5,19.0199999,1055.0,58.0,18.54,20.0,20.76,43.1199986,-5.46999998,0.0
1756755641.0,0.0,0.0,0.0,22.1,0.3,19.50499975,1055.0,61.25,19.215,20.0,21.404999850000003,42.9800004,-5.29499993,0.0
